gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000003452	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003475	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003506	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003521	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003535	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003596	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003642	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003679	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003759	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003783	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003853	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003867	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003899	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003929	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003962	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000003966	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004005	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004011	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004162	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004197	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004238	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004326	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004331	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004337	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004346	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004387	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004405	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004434	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004436	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004445	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004458	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004558	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004572	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004624	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004672	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004696	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004716	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004784	Brain	Rabbit	1	MaSigPro 
