gene_id	tissue	species	n_pipe	pipe
ENSMODG00000009102	Brain	Opossum	1	MaSigPro 
ENSMODG00000009183	Brain	Opossum	1	MaSigPro 
ENSMODG00000009205	Brain	Opossum	1	MaSigPro 
ENSMODG00000009207	Brain	Opossum	1	MaSigPro 
ENSMODG00000009237	Brain	Opossum	1	MaSigPro 
ENSMODG00000009266	Brain	Opossum	1	MaSigPro 
ENSMODG00000009324	Brain	Opossum	1	MaSigPro 
ENSMODG00000009337	Brain	Opossum	1	MaSigPro 
ENSMODG00000009442	Brain	Opossum	1	MaSigPro 
ENSMODG00000009461	Brain	Opossum	1	MaSigPro 
ENSMODG00000009681	Brain	Opossum	1	MaSigPro 
ENSMODG00000009687	Brain	Opossum	1	MaSigPro 
ENSMODG00000009765	Brain	Opossum	1	MaSigPro 
ENSMODG00000010034	Brain	Opossum	1	MaSigPro 
ENSMODG00000010167	Brain	Opossum	1	MaSigPro 
ENSMODG00000010324	Brain	Opossum	1	MaSigPro 
ENSMODG00000010392	Brain	Opossum	1	MaSigPro 
ENSMODG00000010448	Brain	Opossum	1	MaSigPro 
ENSMODG00000010556	Brain	Opossum	1	MaSigPro 
ENSMODG00000010573	Brain	Opossum	1	MaSigPro 
ENSMODG00000010602	Brain	Opossum	1	MaSigPro 
ENSMODG00000010631	Brain	Opossum	1	MaSigPro 
ENSMODG00000010644	Brain	Opossum	1	MaSigPro 
ENSMODG00000010645	Brain	Opossum	1	MaSigPro 
ENSMODG00000010667	Brain	Opossum	1	MaSigPro 
ENSMODG00000010950	Brain	Opossum	1	MaSigPro 
ENSMODG00000010973	Brain	Opossum	1	MaSigPro 
ENSMODG00000011049	Brain	Opossum	1	MaSigPro 
ENSMODG00000011084	Brain	Opossum	1	MaSigPro 
ENSMODG00000011120	Brain	Opossum	1	MaSigPro 
ENSMODG00000011216	Brain	Opossum	1	MaSigPro 
ENSMODG00000011248	Brain	Opossum	1	MaSigPro 
ENSMODG00000011265	Brain	Opossum	1	MaSigPro 
ENSMODG00000011274	Brain	Opossum	1	MaSigPro 
ENSMODG00000011301	Brain	Opossum	1	MaSigPro 
ENSMODG00000011302	Brain	Opossum	1	MaSigPro 
ENSMODG00000011325	Brain	Opossum	1	MaSigPro 
ENSMODG00000011338	Brain	Opossum	1	MaSigPro 
ENSMODG00000011577	Brain	Opossum	1	MaSigPro 
ENSMODG00000011599	Brain	Opossum	1	MaSigPro 
ENSMODG00000011618	Brain	Opossum	1	MaSigPro 
ENSMODG00000011722	Brain	Opossum	1	MaSigPro 
ENSMODG00000011749	Brain	Opossum	1	MaSigPro 
ENSMODG00000011806	Brain	Opossum	1	MaSigPro 
ENSMODG00000011850	Brain	Opossum	1	MaSigPro 
ENSMODG00000011874	Brain	Opossum	1	MaSigPro 
ENSMODG00000011923	Brain	Opossum	1	MaSigPro 
ENSMODG00000011934	Brain	Opossum	1	MaSigPro 
ENSMODG00000011941	Brain	Opossum	1	MaSigPro 
ENSMODG00000012056	Brain	Opossum	1	MaSigPro 
ENSMODG00000012079	Brain	Opossum	1	MaSigPro 
ENSMODG00000012113	Brain	Opossum	1	MaSigPro 
ENSMODG00000012255	Brain	Opossum	1	MaSigPro 
ENSMODG00000012339	Brain	Opossum	1	MaSigPro 
ENSMODG00000012440	Brain	Opossum	1	MaSigPro 
ENSMODG00000012511	Brain	Opossum	1	MaSigPro 
ENSMODG00000012557	Brain	Opossum	1	MaSigPro 
ENSMODG00000012607	Brain	Opossum	1	MaSigPro 
ENSMODG00000012671	Brain	Opossum	1	MaSigPro 
ENSMODG00000012693	Brain	Opossum	1	MaSigPro 
ENSMODG00000012725	Brain	Opossum	1	MaSigPro 
ENSMODG00000012773	Brain	Opossum	1	MaSigPro 
ENSMODG00000012836	Brain	Opossum	1	MaSigPro 
ENSMODG00000012900	Brain	Opossum	1	MaSigPro 
ENSMODG00000012934	Brain	Opossum	1	MaSigPro 
ENSMODG00000013005	Brain	Opossum	1	MaSigPro 
ENSMODG00000013068	Brain	Opossum	1	MaSigPro 
ENSMODG00000013073	Brain	Opossum	1	MaSigPro 
ENSMODG00000013152	Brain	Opossum	1	MaSigPro 
ENSMODG00000013194	Brain	Opossum	1	MaSigPro 
ENSMODG00000013238	Brain	Opossum	1	MaSigPro 
ENSMODG00000013459	Brain	Opossum	1	MaSigPro 
ENSMODG00000013460	Brain	Opossum	1	MaSigPro 
ENSMODG00000013465	Brain	Opossum	1	MaSigPro 
ENSMODG00000013535	Brain	Opossum	1	MaSigPro 
ENSMODG00000013539	Brain	Opossum	1	MaSigPro 
ENSMODG00000013553	Brain	Opossum	1	MaSigPro 
ENSMODG00000013614	Brain	Opossum	1	MaSigPro 
ENSMODG00000013615	Brain	Opossum	1	MaSigPro 
ENSMODG00000013686	Brain	Opossum	1	MaSigPro 
ENSMODG00000013769	Brain	Opossum	1	MaSigPro 
ENSMODG00000013867	Brain	Opossum	1	MaSigPro 
ENSMODG00000013991	Brain	Opossum	1	MaSigPro 
ENSMODG00000014009	Brain	Opossum	1	MaSigPro 
ENSMODG00000014090	Brain	Opossum	1	MaSigPro 
ENSMODG00000014145	Brain	Opossum	1	MaSigPro 
ENSMODG00000014201	Brain	Opossum	1	MaSigPro 
ENSMODG00000014304	Brain	Opossum	1	MaSigPro 
ENSMODG00000014350	Brain	Opossum	1	MaSigPro 
ENSMODG00000014437	Brain	Opossum	1	MaSigPro 
ENSMODG00000014471	Brain	Opossum	1	MaSigPro 
ENSMODG00000014483	Brain	Opossum	1	MaSigPro 
ENSMODG00000014589	Brain	Opossum	1	MaSigPro 
ENSMODG00000014645	Brain	Opossum	1	MaSigPro 
ENSMODG00000014658	Brain	Opossum	1	MaSigPro 
ENSMODG00000014737	Brain	Opossum	1	MaSigPro 
ENSMODG00000014778	Brain	Opossum	1	MaSigPro 
ENSMODG00000014818	Brain	Opossum	1	MaSigPro 
ENSMODG00000014860	Brain	Opossum	1	MaSigPro 
ENSMODG00000015033	Brain	Opossum	1	MaSigPro 
ENSMODG00000015121	Brain	Opossum	1	MaSigPro 
ENSMODG00000015179	Brain	Opossum	1	MaSigPro 
ENSMODG00000015194	Brain	Opossum	1	MaSigPro 
ENSMODG00000015266	Brain	Opossum	1	MaSigPro 
ENSMODG00000015268	Brain	Opossum	1	MaSigPro 
ENSMODG00000015333	Brain	Opossum	1	MaSigPro 
ENSMODG00000015378	Brain	Opossum	1	MaSigPro 
ENSMODG00000015380	Brain	Opossum	1	MaSigPro 
ENSMODG00000015384	Brain	Opossum	1	MaSigPro 
ENSMODG00000015388	Brain	Opossum	1	MaSigPro 
ENSMODG00000015425	Brain	Opossum	1	MaSigPro 
ENSMODG00000015434	Brain	Opossum	1	MaSigPro 
ENSMODG00000015458	Brain	Opossum	1	MaSigPro 
ENSMODG00000015478	Brain	Opossum	1	MaSigPro 
ENSMODG00000015482	Brain	Opossum	1	MaSigPro 
ENSMODG00000015500	Brain	Opossum	1	MaSigPro 
ENSMODG00000015568	Brain	Opossum	1	MaSigPro 
ENSMODG00000015804	Brain	Opossum	1	MaSigPro 
ENSMODG00000015887	Brain	Opossum	1	MaSigPro 
ENSMODG00000015948	Brain	Opossum	1	MaSigPro 
ENSMODG00000016028	Brain	Opossum	1	MaSigPro 
ENSMODG00000016040	Brain	Opossum	1	MaSigPro 
ENSMODG00000016052	Brain	Opossum	1	MaSigPro 
ENSMODG00000016059	Brain	Opossum	1	MaSigPro 
ENSMODG00000016076	Brain	Opossum	1	MaSigPro 
ENSMODG00000016129	Brain	Opossum	1	MaSigPro 
ENSMODG00000016144	Brain	Opossum	1	MaSigPro 
ENSMODG00000016196	Brain	Opossum	1	MaSigPro 
ENSMODG00000016213	Brain	Opossum	1	MaSigPro 
ENSMODG00000016277	Brain	Opossum	1	MaSigPro 
ENSMODG00000016316	Brain	Opossum	1	MaSigPro 
ENSMODG00000016512	Brain	Opossum	1	MaSigPro 
ENSMODG00000016627	Brain	Opossum	1	MaSigPro 
ENSMODG00000016644	Brain	Opossum	1	MaSigPro 
