id,files,group,sex,tissue,timePoint
Heart.P63.2,1950sTS.Mouse.Heart.9w.Female.htseq.u.txt,P63,Female,Heart,4
Heart.P63.3,1956sTS.Mouse.Heart.9wpb.Male.htseq.u.txt,P63,Male,Heart,4
Heart.P63.4,2663sTS.Mouse.Heart.9wpb.Male.htseq.u.txt,P63,Male,Heart,4
Kidney.e11.5.1,3366sTS.Mouse.Kidney.11.5.Female.htseq.u.txt,e11.5,Female,Kidney,-8
Kidney.e11.5.2,3364sTS.Mouse.Kidney.11.5.Female.htseq.u.txt,e11.5,Female,Kidney,-8
Kidney.e11.5.3,3360sTS.Mouse.Kidney.11.5.Male.htseq.u.txt,e11.5,Male,Kidney,-8
Kidney.e11.5.4,3362sTS.Mouse.Kidney.11.5.Male.htseq.u.txt,e11.5,Male,Kidney,-8
Kidney.e12.5.1,3286sTS.Mouse.Kidney.12.5.Female.htseq.u.txt,e12.5,Female,Kidney,-7
Kidney.e12.5.2,3282sTS.Mouse.Kidney.12.5.Female.htseq.u.txt,e12.5,Female,Kidney,-7
Kidney.e12.5.3,3280sTS.Mouse.Kidney.12.5.Male.htseq.u.txt,e12.5,Male,Kidney,-7
Kidney.e12.5.4,3284sTS.Mouse.Kidney.12.5.Male.htseq.u.txt,e12.5,Male,Kidney,-7
Kidney.e13.5.1,2817sTS.Mouse.Kidney.13.5.Female.htseq.u.txt,e13.5,Female,Kidney,-6
Kidney.e13.5.2,2833sTS.Mouse.Kidney.13.5.Female.htseq.u.txt,e13.5,Female,Kidney,-6
Kidney.e13.5.3,2841sTS.Mouse.Kidney.13.5.Male.htseq.u.txt,e13.5,Male,Kidney,-6
Kidney.e13.5.4,5359sTS.Mouse.Kidney.13.5.Male.htseq.u.txt,e13.5,Male,Kidney,-6
Kidney.e14.5.1,2488sTS.Mouse.Kidney.14.5.Female.htseq.u.txt,e14.5,Female,Kidney,-5
Kidney.e14.5.2,2460sTS.Mouse.Kidney.14.5.Male.htseq.u.txt,e14.5,Male,Kidney,-5
Kidney.e14.5.3,2462sTS.Mouse.Kidney.14.5.Male.htseq.u.txt,e14.5,Male,Kidney,-5
Kidney.e15.5.1,2511sTS.Mouse.Kidney.15.5.Female.htseq.u.txt,e15.5,Female,Kidney,-4
Kidney.e15.5.2,2509sTS.Mouse.Kidney.15.5.Female.htseq.u.txt,e15.5,Female,Kidney,-4
Kidney.e15.5.3,2505sTS.Mouse.Kidney.15.5.Male.htseq.u.txt,e15.5,Male,Kidney,-4
Kidney.e15.5.4,2507sTS.Mouse.Kidney.15.5.Male.htseq.u.txt,e15.5,Male,Kidney,-4
Kidney.e16.5.1,2586sTS.Mouse.Kidney.16.5.Female.htseq.u.txt,e16.5,Female,Kidney,-3
Kidney.e16.5.2,2588sTS.Mouse.Kidney.16.5.Female.htseq.u.txt,e16.5,Female,Kidney,-3
Kidney.e16.5.3,2513sTS.Mouse.Kidney.16.5.Male.htseq.u.txt,e16.5,Male,Kidney,-3
Kidney.e16.5.4,2515sTS.Mouse.Kidney.16.5.Male.htseq.u.txt,e16.5,Male,Kidney,-3
Kidney.e17.5.1,2596sTS.Mouse.Kidney.17.5.Female.htseq.u.txt,e17.5,Female,Kidney,-2
Kidney.e17.5.2,2594sTS.Mouse.Kidney.17.5.Female.htseq.u.txt,e17.5,Female,Kidney,-2
Kidney.e17.5.3,2590sTS.Mouse.Kidney.17.5.Male.htseq.u.txt,e17.5,Male,Kidney,-2
Kidney.e17.5.4,2592sTS.Mouse.Kidney.17.5.Male.htseq.u.txt,e17.5,Male,Kidney,-2
Kidney.e18.5.1,2640sTS.Mouse.Kidney.18.5.Female.htseq.u.txt,e18.5,Female,Kidney,-1
Kidney.e18.5.2,2638sTS.Mouse.Kidney.18.5.Female.htseq.u.txt,e18.5,Female,Kidney,-1
Kidney.e18.5.3,2634sTS.Mouse.Kidney.18.5.Male.htseq.u.txt,e18.5,Male,Kidney,-1
Kidney.e18.5.4,2636sTSm.Mouse.Kidney.18.5.Male.htseq.u.txt,e18.5,Male,Kidney,-1
Kidney.P0.1,1744sTS.Mouse.Kidney.0dpb.Female.htseq.u.txt,P0,Female,Kidney,0
