id,files,group,X4,sex,tissue,timePoint
Cerebellum.134.39,5857sTS.Opossum.Cerebellum.120dpb.Female.htseq.u.txt,134,39,Female,Cerebellum,11
Cerebellum.134.40,5977sTS.Opossum.Cerebellum.4mpb.Male.htseq.u.txt,134,40,Male,Cerebellum,11
Cerebellum.134.41,4628sTS.Opossum.Cerebellum.120dpb.Male.htseq.u.txt,134,41,Male,Cerebellum,11
Cerebellum.134.42,5975sTS.Opossum.Cerebellum.4mpb.Male.htseq.u.txt,134,42,Male,Cerebellum,11
Cerebellum.164.43,5859sTS.Opossum.Cerebellum.150dpb.Female.htseq.u.txt,164,43,Female,Cerebellum,12
Cerebellum.164.44,4682sTS.Opossum.Cerebellum.150dpb.Male.htseq.u.txt,164,44,Male,Cerebellum,12
Cerebellum.194.45,5976sTS.Opossum.Cerebellum.6mpb.Male.htseq.u.txt,194,45,Male,Cerebellum,13
Heart.13.5.1,5219sTS.Opossum.Heart.13.5.Female.htseq.u.txt,13.5,1,Female,Heart,-1
Heart.13.5.2,5186sTS.Opossum.Heart.13.5.Male.htseq.u.txt,13.5,2,Male,Heart,-1
Heart.14.4,5214sTS.Opossum.Heart.0dpb.Female.htseq.u.txt,14,4,Female,Heart,0
Heart.14.5,5139sTS.Opossum.Heart.0dpb.Male.htseq.u.txt,14,5,Male,Heart,0
Heart.16.7,5337sTS.Opossum.Heart.2dpb.Female.htseq.u.txt,16,7,Female,Heart,1
Heart.16.8,5210sTS.Opossum.Heart.2dpb.Female.htseq.u.txt,16,8,Female,Heart,1
Heart.16.9,5212sTS.Opossum.Heart.2dpb.Male.htseq.u.txt,16,9,Male,Heart,1
Heart.18.11,5198sTS.Opossum.Heart.4dpb.Female.htseq.u.txt,18,11,Female,Heart,2
Heart.18.12,4545sTS.Opossum.Heart.4dpb.Female.htseq.u.txt,18,12,Female,Heart,2
Heart.18.13,5132sTS.Opossum.Heart.4dpb.Male.htseq.u.txt,18,13,Male,Heart,2
Heart.18.14,5200sTS.Opossum.Heart.4dpb.Male.htseq.u.txt,18,14,Male,Heart,2
Heart.20.15,5134sTS.Opossum.Heart.6dpb.Female.htseq.u.txt,20,15,Female,Heart,3
Heart.20.16,5137sTS.Opossum.Heart.6dpb.Female.htseq.u.txt,20,16,Female,Heart,3
Heart.20.17,5142sTS.Opossum.Heart.6dpb.Male.htseq.u.txt,20,17,Male,Heart,3
Heart.24.20,5048sTS.Opossum.Heart.10dpb.Female.htseq.u.txt,24,20,Female,Heart,4
Heart.24.21,5042sTS.Opossum.Heart.10dpb.Male.htseq.u.txt,24,21,Male,Heart,4
Heart.24.22,5045sTS.Opossum.Heart.10dpb.Male.htseq.u.txt,24,22,Male,Heart,4
Heart.28.23,4769sTS.Opossum.Heart.14dpb.Female.htseq.u.txt,28,23,Female,Heart,5
Heart.28.26,4775sTS.Opossum.Heart.14dpb.Male.htseq.u.txt,28,26,Male,Heart,5
Heart.35.27,4679sTS.Opossum.Heart.21dpb.Female.htseq.u.txt,35,27,Female,Heart,6
Heart.35.28,4760sTS.Opossum.Heart.21dpb.Male.htseq.u.txt,35,28,Male,Heart,6
Heart.42.29,4666sTS.Opossum.Heart.28dpb.Female.htseq.u.txt,42,29,Female,Heart,7
Heart.42.30,4662sTS.Opossum.Heart.28dpb.Female.htseq.u.txt,42,30,Female,Heart,7
Heart.56.31,5882sTS.Opossum.Heart.42dpb.Female.htseq.u.txt,56,31,Female,Heart,8
Heart.74.32,5871sTS.Opossum.Heart.60dpb.Female.htseq.u.txt,74,32,Female,Heart,9
Heart.74.33,4643sTS.Opossum.Heart.60dpb.Female.htseq.u.txt,74,33,Female,Heart,9
Heart.74.34,5873sTS.Opossum.Heart.60dpb.Male.htseq.u.txt,74,34,Male,Heart,9
Heart.104.35,5866sTS.Opossum.Heart.90dpb.Female.htseq.u.txt,104,35,Female,Heart,10
Heart.104.36,4612sTS.Opossum.Heart.90dpb.Female.htseq.u.txt,104,36,Female,Heart,10
Heart.134.38,5855sTS.Opossum.Heart.120dpb.Female.htseq.u.txt,134,38,Female,Heart,11
Heart.134.39,4468sTS.Opossum.Heart.120dpb.Female.htseq.u.txt,134,39,Female,Heart,11
Heart.134.40,4634sTS.Opossum.Heart.120dpb.Male.htseq.u.txt,134,40,Male,Heart,11
Heart.164.41,5861sTS.Opossum.Heart.150dpb.Female.htseq.u.txt,164,41,Female,Heart,12
Heart.164.42,4209sTS.Opossum.Heart.150dpb.Female.htseq.u.txt,164,42,Female,Heart,12
Heart.164.43,4213sTS.Opossum.Heart.150dpb.Male.htseq.u.txt,164,43,Male,Heart,12
Heart.194.44,3959sTS.Opossum.Heart.180dpb.Female.htseq.u.txt,194,44,Female,Heart,13
Heart.194.45,3996sTS.Opossum.Heart.180dpb.Female.htseq.u.txt,194,45,Female,Heart,13
Heart.194.46,3953sTS.Opossum.Heart.180dpb.Male.htseq.u.txt,194,46,Male,Heart,13
Heart.194.47,3990sTS.Opossum.Heart.180dpb.Male.htseq.u.txt,194,47,Male,Heart,13
Kidney.24.2,5049sTS.Opossum.Kidney.10dpb.Female.htseq.u.txt,24,2,Female,Kidney,4
Kidney.24.3,5043sTS.Opossum.Kidney.10dpb.Male.htseq.u.txt,24,3,Male,Kidney,4
Kidney.24.4,5046sTS.Opossum.Kidney.10dpb.Male.htseq.u.txt,24,4,Male,Kidney,4
Kidney.28.5,4770sTS.Opossum.Kidney.14dpb.Female.htseq.u.txt,28,5,Female,Kidney,5
Kidney.28.6,4767sTS.Opossum.Kidney.14dpb.Female.htseq.u.txt,28,6,Female,Kidney,5
Kidney.28.7,4773sTS.Opossum.Kidney.14dpb.Female.htseq.u.txt,28,7,Female,Kidney,5
Kidney.28.8,4776sTS.Opossum.Kidney.14dpb.Male.htseq.u.txt,28,8,Male,Kidney,5
Kidney.35.9,4680sTS.Opossum.Kidney.21dpb.Female.htseq.u.txt,35,9,Female,Kidney,6
Kidney.35.11,4761sTS.Opossum.Kidney.21dpb.Male.htseq.u.txt,35,11,Male,Kidney,6
Kidney.42.13,5879sTS.Opossum.Kidney.28dpb.Female.htseq.u.txt,42,13,Female,Kidney,7
Kidney.42.14,4667sTS.Opossum.Kidney.28dpb.Female.htseq.u.txt,42,14,Female,Kidney,7
Kidney.42.15,5880sTS.Opossum.Kidney.28dpb.Male.htseq.u.txt,42,15,Male,Kidney,7
Kidney.56.17,4718sTS.Opossum.Kidney.42dpb.Female.htseq.u.txt,56,17,Female,Kidney,8
Kidney.56.18,4725sTS.Opossum.Kidney.42dpb.Male.htseq.u.txt,56,18,Male,Kidney,8
Kidney.74.19,4644sTS.Opossum.Kidney.60dpb.Female.htseq.u.txt,74,19,Female,Kidney,9
Kidney.74.20,4659sTS.Opossum.Kidney.60dpb.Male.htseq.u.txt,74,20,Male,Kidney,9
Kidney.104.22,5867sTS.Opossum.Kidney.90dpb.Female.htseq.u.txt,104,22,Female,Kidney,10
Kidney.104.23,4609sTS.Opossum.Kidney.90dpb.Female.htseq.u.txt,104,23,Female,Kidney,10
Kidney.134.25,4710sTS.Opossum.Kidney.120dpb.Female.htseq.u.txt,134,25,Female,Kidney,11
Kidney.164.27,5862sTS.Opossum.Kidney.150dpb.Female.htseq.u.txt,164,27,Female,Kidney,12
Kidney.164.29,4214sTS.Opossum.Kidney.150dpb.Male.htseq.u.txt,164,29,Male,Kidney,12
Kidney.194.30,3960sTS.Opossum.Kidney.180dpb.Female.htseq.u.txt,194,30,Female,Kidney,13
Kidney.194.31,3998sTS.Opossum.Kidney.180dpb.Female.htseq.u.txt,194,31,Female,Kidney,13
Kidney.194.32,3954sTS.Opossum.Kidney.180dpb.Female.htseq.u.txt,194,32,Female,Kidney,13
Liver.13.5.1,5336sTS.Opossum.Liver.13.5.Female.htseq.u.txt,13.5,1,Female,Liver,-1
Liver.13.5.3,5192sTS.Opossum.Liver.13.5.Male.htseq.u.txt,13.5,3,Male,Liver,-1
Liver.14.5,5041sTS.Opossum.Liver.0dpb.Male.htseq.u.txt,14,5,Male,Liver,0
Liver.16.6,5338sTS.Opossum.Liver.2dpb.Female.htseq.u.txt,16,6,Female,Liver,1
Liver.16.7,5211sTS.Opossum.Liver.2dpb.Female.htseq.u.txt,16,7,Female,Liver,1
Liver.16.8,5213sTS.Opossum.Liver.2dpb.Male.htseq.u.txt,16,8,Male,Liver,1
Liver.16.9,5340sTS.Opossum.Liver.2dpb.Male.htseq.u.txt,16,9,Male,Liver,1
Liver.18.10,5199sTS.Opossum.Liver.4dpb.Female.htseq.u.txt,18,10,Female,Liver,2
Liver.18.11,4546sTS.Opossum.Liver.4dpb.Female.htseq.u.txt,18,11,Female,Liver,2
Liver.18.12,5133sTS.Opossum.Liver.4dpb.Male.htseq.u.txt,18,12,Male,Liver,2
Liver.18.13,5201sTS.Opossum.Liver.4dpb.Male.htseq.u.txt,18,13,Male,Liver,2
Liver.20.14,5135sTS.Opossum.Liver.6dpb.Female.htseq.u.txt,20,14,Female,Liver,3
Liver.20.15,5138sTS.Opossum.Liver.6dpb.Female.htseq.u.txt,20,15,Female,Liver,3
Liver.20.16,5143sTS.Opossum.Liver.6dpb.Male.htseq.u.txt,20,16,Male,Liver,3
Liver.20.17,5209sTS.Opossum.Liver.6dpb.Male.htseq.u.txt,20,17,Male,Liver,3
Liver.24.18,5589sTS.Opossum.Liver.10dpb.Female.htseq.u.txt,24,18,Female,Liver,4
Liver.24.19,5050sTS.Opossum.Liver.10dpb.Female.htseq.u.txt,24,19,Female,Liver,4
Liver.24.20,5044sTS.Opossum.Liver.10dpb.Male.htseq.u.txt,24,20,Male,Liver,4
Liver.24.21,5047sTS.Opossum.Liver.10dpb.Male.htseq.u.txt,24,21,Male,Liver,4
Liver.28.23,4768sTS.Opossum.Liver.14dpb.Female.htseq.u.txt,28,23,Female,Liver,5
Liver.28.24,4774sTS.Opossum.Liver.14dpb.Female.htseq.u.txt,28,24,Female,Liver,5
Liver.35.26,4759sTS.Opossum.Liver.21dpb.Female.htseq.u.txt,35,26,Female,Liver,6
Liver.35.27,4681sTS.Opossum.Liver.21dpb.Female.htseq.u.txt,35,27,Female,Liver,6
Liver.35.28,4762sTS.Opossum.Liver.21dpb.Male.htseq.u.txt,35,28,Male,Liver,6
Liver.42.30,4664sTS.Opossum.Liver.28dpb.Female.htseq.u.txt,42,30,Female,Liver,7
Liver.42.31,4673sTS.Opossum.Liver.28dpb.Male.htseq.u.txt,42,31,Male,Liver,7
Liver.56.32,5884sTS.Opossum.Liver.42dpb.Female.htseq.u.txt,56,32,Female,Liver,8
Liver.74.33,5872sTS.Opossum.Liver.60dpb.Female.htseq.u.txt,74,33,Female,Liver,9
Liver.74.34,5851sTS.Opossum.Liver.60dpb.Female.htseq.u.txt,74,34,Female,Liver,9
Liver.74.35,4660sTS.Opossum.Liver.60dpb.Male.htseq.u.txt,74,35,Male,Liver,9
Liver.104.37,5868sTS.Opossum.Liver.90dpb.Female.htseq.u.txt,104,37,Female,Liver,10
Liver.104.38,4610sTS.Opossum.Liver.90dpb.Female.htseq.u.txt,104,38,Female,Liver,10
Liver.104.39,4637sTS.Opossum.Liver.90dpb.Male.htseq.u.txt,104,39,Male,Liver,10
Liver.134.40,5856sTS.Opossum.Liver.120dpb.Female.htseq.u.txt,134,40,Female,Liver,11
Liver.134.41,4469sTS.Opossum.Liver.120dpb.Female.htseq.u.txt,134,41,Female,Liver,11
Liver.134.42,4601sTS.Opossum.Liver.120dpb.Male.htseq.u.txt,134,42,Male,Liver,11
Liver.164.43,5863sTS.Opossum.Liver.150dpb.Female.htseq.u.txt,164,43,Female,Liver,12
Liver.164.44,4211sTS.Opossum.Liver.150dpb.Female.htseq.u.txt,164,44,Female,Liver,12
Liver.164.45,4215sTS.Opossum.Liver.150dpb.Male.htseq.u.txt,164,45,Male,Liver,12
Liver.194.46,3961sTS.Opossum.Liver.180dpb.Female.htseq.u.txt,194,46,Female,Liver,13
Liver.194.47,3997sTS.Opossum.Liver.180dpb.Female.htseq.u.txt,194,47,Female,Liver,13
Liver.194.48,3955sTS.Opossum.Liver.180dpb.Male.htseq.u.txt,194,48,Male,Liver,13
Liver.194.49,3991sTS.Opossum.Liver.180dpb.Male.htseq.u.txt,194,49,Male,Liver,13
Ovary.16.1,4491sTS.Opossum.Ovary.2dpb.Female.htseq.u.txt,16,1,Female,Ovary,1
Ovary.18.2,4541sTS.Opossum.Ovary.4dpb.Female.htseq.u.txt,18,2,Female,Ovary,2
Ovary.18.3,5325sTS.Opossum.Ovary.4dpb.Female.htseq.u.txt,18,3,Female,Ovary,2
Ovary.20.4,4951sTS.Opossum.Ovary.6dpb.Female.htseq.u.txt,20,4,Female,Ovary,3
Ovary.20.5,5326sTS.Opossum.Ovary.6dpb.Female.htseq.u.txt,20,5,Female,Ovary,3
Ovary.24.6,5324sTS.Opossum.Ovary.10dpb.Female.htseq.u.txt,24,6,Female,Ovary,4
Ovary.24.7,5592sTS.Opossum.Ovary.10dpb.Female.htseq.u.txt,24,7,Female,Ovary,4
Ovary.28.8,4952sTS.Opossum.Ovary.14dpb.Female.htseq.u.txt,28,8,Female,Ovary,5
Ovary.28.9,4953sTS.Opossum.Ovary.14dpb.Female.htseq.u.txt,28,9,Female,Ovary,5
Ovary.35.10,4956sTS.Opossum.Ovary.21dpb.Female.htseq.u.txt,35,10,Female,Ovary,6
Ovary.35.11,4957sTS.Opossum.Ovary.21dpb.Female.htseq.u.txt,35,11,Female,Ovary,6
Ovary.42.12,4665sTS.Opossum.Ovary.28dpb.Female.htseq.u.txt,42,12,Female,Ovary,7
Ovary.56.13,5881sTS.Opossum.Ovary.42dpb.Female.htseq.u.txt,56,13,Female,Ovary,8
Ovary.74.15,5870sTS.Opossum.Ovary.60dpb.Female.htseq.u.txt,74,15,Female,Ovary,9
Ovary.104.17,4613sTS.Opossum.Ovary.90dpb.Female.htseq.u.txt,104,17,Female,Ovary,10
Ovary.134.18,4471sTS.Opossum.Ovary.120dpb.Female.htseq.u.txt,134,18,Female,Ovary,11
Ovary.134.19,5853sTS.Opossum.Ovary.120dpb.Female.htseq.u.txt,134,19,Female,Ovary,11
