id,files,group,rep,sex,tissue,timePoint
Brain.e18.3,5980sTS.Rat.Brain.18.Male.htseq.u.txt,e18,3,Male,Brain,-3
Brain.e18.4,5981sTS.Rat.Brain.18.Male.htseq.u.txt,e18,4,Male,Brain,-3
Brain.e19.1,2400sTS.Rat.Brain.19d.Female.htseq.u.txt,e19,1,Female,Brain,-2
Brain.e19.2,2402sTS.Rat.Brain.19.Female.htseq.u.txt,e19,2,Female,Brain,-2
Brain.e19.3,2404sTS.Rat.Brain.19d.Male.htseq.u.txt,e19,3,Male,Brain,-2
Brain.e19.4,2406sTS.Rat.Brain.19.Male.htseq.u.txt,e19,4,Male,Brain,-2
Brain.e20.1,2672sTS.Rat.Brain.20.Male.htseq.u.txt,e20,1,Male,Brain,-1
Brain.e20.2,2677sTS.Rat.Brain.20.Female.htseq.u.txt,e20,2,Female,Brain,-1
Brain.e20.3,2690sTS.Rat.Brain.20.Female.htseq.u.txt,e20,3,Female,Brain,-1
Brain.e20.4,2691sTS.Rat.Brain.20.Male.htseq.u.txt,e20,4,Male,Brain,-1
Brain.P0.1,1746sTS.Rat.Brain.0dpb.Male.htseq.u.txt,P0,1,Male,Brain,0
Brain.P0.2,2181sTS.Rat.Brain.0dpb.Female.htseq.u.txt,P0,2,Female,Brain,0
Brain.P0.3,2288sTS.Rat.Brain.0dpb.Female.htseq.u.txt,P0,3,Female,Brain,0
Brain.P0.4,2292sTS.Rat.Brain.0dpb.Female.htseq.u.txt,P0,4,Female,Brain,0
Brain.P3.1,4898sTS.Rat.Brain.3dpb.Female.htseq.u.txt,P3,1,Female,Brain,1
Brain.P3.2,4904sTS.Rat.Brain.3dpb.Male.htseq.u.txt,P3,2,Male,Brain,1
Brain.P3.3,4958sTS.Rat.Brain.3dpb.Male.htseq.u.txt,P3,3,Male,Brain,1
Brain.P3.4,4964sTS.Rat.Brain.3dpb.Female.htseq.u.txt,P3,4,Female,Brain,1
Brain.P7.1,2294sTS.Rat.Brain.1wpb.Female.htseq.u.txt,P7,1,Female,Brain,2
Brain.P7.2,2298sTSb.Rat.Brain.1wpb.Female.htseq.u.txt,P7,2,Female,Brain,2
Brain.P7.3,2302sTS.Rat.Brain.1wpb.Male.htseq.u.txt,P7,3,Male,Brain,2
Brain.P7.4,2360sTS.Rat.Brain.1wpb.Male.htseq.u.txt,P7,4,Male,Brain,2
Brain.P14.1,2336sTS.Rat.Brain.2wpb.Female.htseq.u.txt,P14,1,Female,Brain,3
Brain.P14.2,2339sTS.Rat.Brain.2wpb.Female.htseq.u.txt,P14,2,Female,Brain,3
Brain.P14.3,2342sTS.Rat.Brain.2wpb.Male.htseq.u.txt,P14,3,Male,Brain,3
Brain.P14.4,2345sTS.Rat.Brain.2wpb.Male.htseq.u.txt,P14,4,Male,Brain,3
Brain.P42.1,1875sTS.Rat.Brain.6wpb.Male.htseq.u.txt,P42,1,Male,Brain,4
Brain.P42.2,1971sTS.Rat.Brain.6wpb.Male.htseq.u.txt,P42,2,Male,Brain,4
Brain.P42.3,1975sTS.Rat.Brain.6wpb.Female.htseq.u.txt,P42,3,Female,Brain,4
